direction,feature_set,model,accuracy,macro_f1,normal_precision,normal_recall,normal_f1,normal_support,suspicious_precision,suspicious_recall,suspicious_f1,suspicious_support,malicious_precision,malicious_recall,malicious_f1,malicious_support
synthetic_to_cosim,traffic,RF,0.8575847910456156,0.3077777104907245,0.8575847910456156,1.0,0.9233331314721734,15247,0.0,0.0,0.0,912,0.0,0.0,0.0,1620
synthetic_to_cosim,traffic,HGB,0.8575847910456156,0.3077777104907245,0.8575847910456156,1.0,0.9233331314721734,15247,0.0,0.0,0.0,912,0.0,0.0,0.0,1620
synthetic_to_cosim,traffic+5g,RF,0.8575847910456156,0.3077777104907245,0.8575847910456156,1.0,0.9233331314721734,15247,0.0,0.0,0.0,912,0.0,0.0,0.0,1620
synthetic_to_cosim,traffic+5g,HGB,0.8575847910456156,0.3077777104907245,0.8575847910456156,1.0,0.9233331314721734,15247,0.0,0.0,0.0,912,0.0,0.0,0.0,1620
synthetic_to_cosim,all,RF,0.8736149389729456,0.4125286809243587,0.8762140106890408,1.0,0.9340235236461651,15247,0.041237113402061855,0.0043859649122807015,0.007928642220019821,912,1.0,0.1734567901234568,0.29563387690689114,1620
synthetic_to_cosim,all,HGB,0.8688340176612858,0.3805848524689235,0.8713069318246757,1.0,0.9312282416172968,15247,0.0,0.0,0.0,912,0.7142857142857143,0.12345679012345678,0.21052631578947367,1620
cosim_to_synthetic,traffic,RF,0.2771,0.20256216369439226,0.6365727429557216,0.181237721021611,0.28214604307378616,6108,0.0,0.0,0.0,1930,0.20142839849897107,0.8481141692150866,0.3255404480093906,1962
cosim_to_synthetic,traffic,HGB,0.6014,0.2650827730597322,0.6105823354825504,0.9767518009168303,0.7514327098683796,6108,0.0,0.0,0.0,1930,0.2096069868995633,0.024464831804281346,0.04381560931081698,1962
cosim_to_synthetic,traffic+5g,RF,0.2223,0.1422422287230609,0.7428571428571429,0.05108055009823183,0.09558823529411764,6108,0.0,0.0,0.0,1930,0.19947807933194153,0.9740061162079511,0.331138450875065,1962
cosim_to_synthetic,traffic+5g,HGB,0.6014,0.26506457293096236,0.6104573825846721,0.9767518009168303,0.7513380769472955,6108,0.0,0.0,0.0,1930,0.21145374449339208,0.024464831804281346,0.0438556418455916,1962
cosim_to_synthetic,all,RF,0.3071,0.23396402421246343,0.849507735583685,0.19777341191879502,0.3208499335989376,6108,0.41333333333333333,0.01606217616580311,0.030922693266832918,1930,0.21545336939903564,0.9337410805300713,0.3501194457716197,1962
cosim_to_synthetic,all,HGB,0.6013,0.2650383625631401,0.6104175194433074,0.9765880812049771,0.7512594458438288,6108,0.0,0.0,0.0,1930,0.21145374449339208,0.024464831804281346,0.0438556418455916,1962
